"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BLADE1","1","SensorBlade","","Excluded from BOM","","SensorBlade:SensorBlade_Tenon",""
"C1","1","0.1uF 50V 10%","","","","easyeda2kicad:C0805","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_C0805B104K500NT_C476766.html"
"C2","1","10nF","","","","Custom:C0805","https://www.lcsc.com/product-detail/C83170.html"
"H1,H2,H3,H4","4","2.54-1*4P母","","","","Custom:HDR-TH_4P-P2.54-V-F","https://www.lcsc.com/product-detail/C2718488.html"
"H5,H6,H7,H8","4","PZ254V-11-04P_C2691448","","","","Custom:HDR-TH_4P-P2.54-V-M","https://www.lcsc.com/product-detail/C2691448.html"
"LED1","1","TZ-P2-0805YGTCS2-0.8T","","","","Custom:LED0805-R-RD_GREEN","https://www.lcsc.com/product-detail/C688885.html"
"PAD1,PAD2","2","BladePad","","Excluded from BOM","","Custom:BladePad_SMD",""
"PAD3","1","PowerPad+","","Excluded from BOM","","Custom:BladePad_SMD",""
"PAD4","1","PowerPad-","","Excluded from BOM","","Custom:BladePad_SMD",""
"R1","1","1kΩ","","","","Custom:R0805","https://www.lcsc.com/product-detail/C2907295.html"
"R2,R5","2","10K 1%","","","","easyeda2kicad:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_10KR-1002-1_C17414.html"
"R3,R4","2","220kΩ","","","","Custom:R0805","https://www.lcsc.com/product-detail/C17556.html"
"R6","1","100kΩ","","","","Custom:R0805","https://www.lcsc.com/product-detail/C149504.html"
"SW1","1","TS-1187A-B-A-B","","","","easyeda2kicad:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5","https://lcsc.com/product-detail/Tactile-Switches_XKB-Enterprise-TS-1187-B-A-A_C318884.html"
"U1","1","XIAO-ESP32-C3-SMD","","","","SEED:XIAO-ESP32-C3-SMD","https://wiki.seeedstudio.com/XIAO_ESP32C3_Getting_Started/"
"U2","1","2.1MHz","","","","Custom:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","https://www.lcsc.com/product-detail/C6987.html"
